date,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source
2020-06-25,19:45 UTC,117.59166666666667,-0.25277777777777777,Boarded,Muara Berau Anchorage,IDN,IDN,13.966986162549995,117.49537194100003,-0.33375416499995936,"25.06.2020: 1945 UTC: Posn: 00:15.16S - 117:35.54E, Muara Berau Anchorage, Indonesia.
Unnoticed robbers boarded an anchored bulk carrier, broke into the bosun store, stole ship’s stores and escaped. The theft was noticed by the Duty AB on security rounds. Incident reported to Port Control. The Indonesian Marine Police (IMP) boarded the ship for investigation. On 11.07.2020, the IMP identified and apprehended three persons responsible for the theft and managed to recover the stolen items. The Master and the CSO were requested to collect the stolen items from the IMP Regional Directorate of East Kalimantan.","NA",Bulk Carrier,Anchored,imb
2020-06-27,00:10 UTC,-77.18888888888888,-12.028333333333334,Attempted,Callao Anchorage,PER,PER,3.685863012024207,-77.16649329299992,-12.053317966999941,"27.06.2020: 0010 UTC: Posn: 12:01.4S - 077:10.8W, Callao Anchorage, Peru.
Duty AB onboard an anchored bulk carrier noticed three persons attempting to board via the anchor chain. The AB immediately informed the D/O and started shouting at the robbers. Alarm raised and crew mustered. Seeing the alerted crew, the persons aborted the attempted boarding and escaped. Port Control and Coast Guard were notified who later arrived at the location and made a search.","NA",Bulk Carrier,Anchored,imb
2020-06-30,02:35 UTC,-1.7080555555555557,4.883611111111112,Boarded,Takoradi Anchorage,GHA,GHA,4.447625334281299,-1.7481176419999542,4.881903387000079,"30.06.2020: 0235 UTC: Posn: 04:53.01N – 001:41.89W, Takoradi Anchorages, Ghana.
Duty AB onboard an anchored bulk carrier noticed three robbers on the forecastle and immediately informed the OOW who raised the alarm. Seeing the alerted crew the robbers escaped with stolen ship’s properties. Incident reported to Takoradi Port Control.","NA",Bulk Carrier,Anchored,imb
2020-06-30,21:15 UTC,40.685833333333335,-14.383888888888889,Boarded,Nacala Anchorage,MOZ,MOZ,1.860261307078132,40.684580925000034,-14.367120049999926,"30.06.2020: 2115 UTC: Posn: 14:23.2S – 040:41.9E, Nacala Anchorage, Mozambique
Duty AB on routine rounds onboard an anchored bulk carrier noticed a mooring line cut and missing. Alarm raised, PA announcement made and a search was carried out onboard the ship. Port Control notified and a patrol boat was dispatched to the location.","NA",Bulk Carrier,Anchored,imb
2020-07-01,16:40 UTC,104.31944444444444,1.291111111111111,Boarded,Singapore Straits,MYS,MYS,9.64276238497238,104.27735436300003,1.3673363300000574,"01.07.2020: 1640 UTC: Posn: 01:16.88N - 104:19.10E, Singapore Straits.
Four robbers armed with knives boarded a reefer vessel. Duty crew spotted the robbers and raised the alarm. All crew mustered. Seeing the crew alertness, the robbers escaped with ship’s spares. Incident reported to VTIS.","NA",Refrigerated Cargo,"NA",imb
2020-07-02,03:20 UTC,6.967777777777778,3.85,Boarded,Around 33nm SSW of Bonny Island,NGA,NGA,56.623620858099486,6.845957879000082,4.3472354190000715,"02.07.2020: 0320 UTC: Posn: 03:51.01N – 006:58.08E, Around 33nm SSW of Bonny Island, Nigeria.
Armed pirates attacked and boarded an FPSO, kidnapped nine crew members and escaped. Remaining crew reported safe. On 09.09.2020, the Owners confirmed that the 9 kidnapped crew members were safely released on 06.08.2020.","NA",FPSO,"NA",imb
2020-07-02,22:20 UTC,2.4166666666666665,3.8216666666666668,Boarded,Around 150nm South of Cotonou,GHA,BEN,271.51918105147286,0.9548445970000898,5.791083075000074,"02.07.2020: 2220 UTC: Posn: 03:49.3N – 002:25.0E, Around 150nm South of Cotonou, Benin.
Armed pirates attacked and boarded a general cargo ship that was drifting and awaiting operational instructions. They kidnapped five crew members, stole ship’s properties, cash and crew personal belongings before escaping in a small boat. Authorities informed, crew mustered, and a search was carried out onboard the ship. The remaining crew are reported safe. On 04.08.2020, the Owners confirmed that the 5 kidnapped crew members were released safely on 31.07.2020.","NA",General Cargo,"NA",imb
2020-07-08,14:04 UTC,108.66916666666667,3.451388888888889,Attempted,Around 23nm SE of Natuna Island,IDN,IDN,46.72057457861288,108.32398522200003,3.6926944030000755,"08.07.2020: 1404 UTC: Posn: 03:27.5N - 108:40.9E, Around 23nm SE of Natuna Island, Indonesia.
Around five persons in a boat attempted to come alongside and board a LPG Tanker underway. Seeing the approaching boat the vessel made evasive manoeuvres and directed the Aldis lights towards the boat resulting in the persons aborting and moving away.","NA",LPG Tanker,"NA",imb
2020-07-11,18:00 UTC,104.20194444444445,1.2666666666666666,Boarded,Singapore Straits,MYS,IDN,9.000346566791766,104.21924889400003,1.3461774760000935,"11.07.2020: 1800 UTC: Posn: 01:16.0N – 104:12.7E, Singapore Straits.
Three robbers armed with knives and an axe boarded a bulk carrier underway. The C/E noticed the armed robbers in the steering gear room and immediately informed the Master. Alarm raised, deck lights switched on and crew mustered on the bridge. Incident reported to the CSO and VTS. A search was carried out. It was reported that ship’s spares and stores were stolen.","NA",Bulk Carrier,"NA",imb
2020-07-17,10:00 UTC,2.7666666666666666,2.95,Boarded,Around 196nm SW of Bayelsa,NGA,NGA,364.8714507310064,5.5669051440000885,4.67523834800005,"17.07.2020: 1000 UTC: Posn: 02:57N – 002:46E, Around 196nm SW of Bayelsa, Nigeria.
Eight pirates armed with machine guns boarded a tanker underway. They held hostage all crew members, stole the tanker’s documents and valuables and kidnapped 13 crew members before escaping. The tanker was left drifting with limited and unqualified crew onboard. A nearby merchant vessel rendered assistance which allowed the tanker to sail to a safe port. Regional authorities notified. On 02.09.2020, the Owners confirmed that the 13 kidnapped crew members were released safely on 19.08.2020.","NA",Product Tanker,"NA",imb
